DATASET,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,LN_IC50,AUC,Z_SCORE,status,lineage
GDSC2,683667,PFSK-1,SIDM01132,MB,1776,GSK2256098C,4.139822,0.986806,-0.161597,intact,CNS/Brain
GDSC2,684052,A673,SIDM00848,UNCLASSIFIED,1776,GSK2256098C,3.945808,0.986311,-0.37277,null,Bone
GDSC2,684057,ES5,SIDM00263,UNCLASSIFIED,1776,GSK2256098C,3.145319,0.973429,-1.244056,intact,Bone
GDSC2,684059,ES7,SIDM00269,UNCLASSIFIED,1776,GSK2256098C,3.853668,0.985462,-0.473059,intact,Bone
GDSC2,684062,EW-11,SIDM00203,UNCLASSIFIED,1776,GSK2256098C,4.281457,0.980525,-0.007435,intact,Bone
GDSC2,684072,SK-ES-1,SIDM01111,UNCLASSIFIED,1776,GSK2256098C,3.025747,0.978615,-1.374204,intact,Bone
GDSC2,687448,COLO-829,SIDM00909,SKCM,1776,GSK2256098C,5.48092,0.96797,1.298111,intact,Skin
GDSC2,687452,5637,SIDM00807,BLCA,1776,GSK2256098C,4.592916,0.98323,0.33157,intact,Bladder/Urinary Tract
GDSC2,687455,RT4,SIDM01085,BLCA,1776,GSK2256098C,3.472321,0.974688,-0.888133,null,Bladder/Urinary Tract
GDSC2,687457,SW780,SIDM01160,BLCA,1776,GSK2256098C,4.738773,0.982358,0.490327,null,Bladder/Urinary Tract
GDSC2,687459,TCCSUP,SIDM01190,BLCA,1776,GSK2256098C,4.987621,0.982583,0.761184,intact,Bladder/Urinary Tract
GDSC2,687505,C-33-A,SIDM00889,CESC,1776,GSK2256098C,4.045725,0.98151,-0.264016,intact,Cervix
GDSC2,687506,C-4-I,SIDM00905,CESC,1776,GSK2256098C,3.558029,0.982842,-0.794845,intact,Cervix
GDSC2,687514,ME-180,SIDM00627,CESC,1776,GSK2256098C,4.617659,0.985161,0.358501,intact,Cervix
GDSC2,687561,42-MG-BA,SIDM00982,GBM,1776,GSK2256098C,3.099889,0.964933,-1.293504,null,CNS/Brain
GDSC2,687562,8-MG-BA,SIDM00998,GBM,1776,GSK2256098C,4.117911,0.990048,-0.185446,intact,CNS/Brain
GDSC2,687563,A172,SIDM00799,GBM,1776,GSK2256098C,4.766108,0.985106,0.52008,null,CNS/Brain
GDSC2,687568,GB-1,SIDM00581,GBM,1776,GSK2256098C,5.229838,0.977835,1.024823,null,CNS/Brain
GDSC2,687586,T98G,SIDM01171,GBM,1776,GSK2256098C,4.237532,0.984691,-0.055245,intact,CNS/Brain
GDSC2,687588,U-118-MG,SIDM01193,GBM,1776,GSK2256098C,5.021012,0.976392,0.797528,null,CNS/Brain
GDSC2,687590,U-87-MG,SIDM01189,GBM,1776,GSK2256098C,4.239415,0.975529,-0.053195,null,CNS/Brain
GDSC2,687600,NCI-H720,SIDM01120,UNCLASSIFIED,1776,GSK2256098C,4.323706,0.988821,0.03855,intact,Lung
GDSC2,687777,Calu-3,SIDM00922,LUAD,1776,GSK2256098C,5.465134,0.976522,1.280929,intact,Lung
GDSC2,687780,COR-L23,SIDM00512,UNCLASSIFIED,1776,GSK2256098C,4.953343,0.982424,0.723874,intact,Lung
GDSC2,687787,LK-2,SIDM00548,LUSC,1776,GSK2256098C,4.680625,0.983442,0.427037,intact,Lung
GDSC2,687798,NCI-H1623,SIDM00747,LUAD,1776,GSK2256098C,4.652773,0.9821,0.396721,intact,Lung
GDSC2,687800,NCI-H1650,SIDM00745,LUAD,1776,GSK2256098C,4.708256,0.963828,0.457111,null,Lung
GDSC2,687802,NCI-H1693,SIDM00742,LUAD,1776,GSK2256098C,6.048903,0.971186,1.916328,intact,Lung
GDSC2,687812,NCI-H2085,SIDM00709,LUAD,1776,GSK2256098C,4.989027,0.982919,0.762714,intact,Lung
GDSC2,687815,NCI-H2170,SIDM00716,LUSC,1776,GSK2256098C,4.347587,0.983897,0.064543,null,Lung
GDSC2,687816,NCI-H2228,SIDM00729,LUAD,1776,GSK2256098C,5.108756,0.97164,0.893033,null,Lung
GDSC2,687821,NCI-H2405,SIDM00724,LUAD,1776,GSK2256098C,6.340938,0.967111,2.234191,null,Lung
GDSC2,687829,NCI-H661,SIDM01122,UNCLASSIFIED,1776,GSK2256098C,4.737087,0.985906,0.488491,intact,Lung
GDSC2,687980,COR-L311,SIDM00509,SCLC,1776,GSK2256098C,1.611638,0.925057,-2.91338,intact,Lung
GDSC2,687983,DMS-114,SIDM00865,SCLC,1776,GSK2256098C,4.57354,0.986139,0.310481,intact,Lung
GDSC2,687985,DMS-273,SIDM00522,SCLC,1776,GSK2256098C,3.863124,0.979906,-0.462767,intact,Lung
GDSC2,687995,NCI-H1048,SIDM00654,SCLC,1776,GSK2256098C,4.185331,0.987334,-0.112063,intact,Lung
GDSC2,687997,NCI-H1092,SIDM00653,SCLC,1776,GSK2256098C,4.812773,0.98433,0.570871,intact,Lung
GDSC2,688006,NCI-H1694,SIDM00741,SCLC,1776,GSK2256098C,4.172076,0.989462,-0.12649,intact,Lung
GDSC2,688010,NCI-H1963,SIDM00760,SCLC,1776,GSK2256098C,4.038639,0.987133,-0.271729,intact,Lung
GDSC2,688011,NCI-H2029,SIDM00735,SCLC,1776,GSK2256098C,4.104142,0.9886,-0.200433,intact,Lung
GDSC2,688013,NCI-H209,SIDM00706,SCLC,1776,GSK2256098C,3.873094,0.988517,-0.451915,intact,Lung
GDSC2,688014,NCI-H2141,SIDM00699,SCLC,1776,GSK2256098C,4.919019,0.985387,0.686515,intact,Lung
GDSC2,688018,NCI-H2227,SIDM00730,SCLC,1776,GSK2256098C,5.087766,0.979174,0.870185,intact,Lung
