gene,module,screen,scope,contrast,n_test,n_comp,med_test,med_comp,effect,mw_p,perm_p,ci_lo,ci_hi,null_mode
ITGAV,FAK / focal-adhesion,CRISPR,PAN,B_vs_C,30,814,-0.57945873932802,-0.47854315488654153,0.10091558444147841,0.12234851289916349,0.24243515129697407,-0.06465917310219636,0.36190537539632284,either
FERMT2,FAK / focal-adhesion,CRISPR,PAN,B_vs_C,30,814,-0.5130154374158955,-0.40186676940280264,0.11114866801309287,0.2766202077982982,0.18111637767244654,-0.1345926574080231,0.33191369875972854,either
ITGB5,FAK / focal-adhesion,CRISPR,PAN,B_vs_C,30,814,-0.22088643397084146,-0.2126692603356756,0.008217173635165859,0.22846737167117703,0.44639107217855645,-0.0746076672554747,0.15508714832734827,either
PTK2,FAK / focal-adhesion,CRISPR,PAN,A_vs_C,324,814,-0.6221257876152935,-0.4533929390847746,0.16873284853051884,7.617310410686252e-07,1.999960000799984e-05,0.08930542584337857,0.20761138066079093,either
ITGAV,FAK / focal-adhesion,CRISPR,PAN,A_vs_C,324,814,-0.6530996477079031,-0.47854315488654153,0.17455649282136154,1.2893693978655581e-06,9.99980000399992e-05,0.08767008677387046,0.30973624675875105,either
FERMT2,FAK / focal-adhesion,CRISPR,PAN,A_vs_C,324,814,-0.5758303126822095,-0.40186676940280264,0.17396354327940688,1.8402730972118757e-06,3.999920001599968e-05,0.09281256072413802,0.2651390939628191,either
TLN1,FAK / focal-adhesion,CRISPR,PAN,A_vs_C,324,814,-0.43892949248126867,-0.2998431724386177,0.13908632004265098,2.4809023596751093e-09,1.999960000799984e-05,0.08410602839750875,0.19146423625776432,either
ITGB5,FAK / focal-adhesion,CRISPR,PAN,A_vs_C,324,814,-0.2813036939992394,-0.2126692603356756,0.06863443366356378,0.0004712993991379277,0.0014399712005759885,0.02253115766186381,0.10835664428680111,either
TLN1,FAK / focal-adhesion,CRISPR,PAN,B_vs_C,30,814,-0.3615630962942892,-0.2998431724386177,0.06171992385567149,0.06925994314391083,0.1876962460750785,-0.020118087059789236,0.18455498753065508,either
VCL,FAK / focal-adhesion,CRISPR,PAN,B_vs_C,30,814,-0.3736214541577114,-0.3528544419789096,0.020767012178801836,0.4218633895728029,0.30459390812183756,-0.06920871803798218,0.0798328783295087,either
PTK2,FAK / focal-adhesion,CRISPR,PAN,B_vs_C,30,814,-0.49875406227718777,-0.4533929390847746,0.045361123192413144,0.2740740985206073,0.30775384492310154,-0.1158931767179993,0.22418410336271405,either
ILK,FAK / focal-adhesion,CRISPR,PAN,B_vs_C,30,814,-0.38890275906573746,-0.3363924378250301,0.05251032124070737,0.15225179244066978,0.2245555088898222,-0.0952938089320434,0.22307275714413477,either
VCL,FAK / focal-adhesion,CRISPR,PAN,A_vs_C,324,814,-0.41892855705374354,-0.3528544419789096,0.06607411507483396,1.6457957770369375e-07,3.999920001599968e-05,0.03705338411792015,0.10913040586094654,either
ILK,FAK / focal-adhesion,CRISPR,PAN,A_vs_C,324,814,-0.4065127996061124,-0.3363924378250301,0.07012036178108233,0.001184077469204247,0.0017799644007119857,0.024986919282847825,0.1073747317731902,either
PXN,FAK / focal-adhesion,CRISPR,PAN,B_vs_C,30,814,-0.27989913992293924,-0.2330755049676193,0.04682363495531994,0.14241582635466987,0.20867582648347033,-0.05225954377023508,0.18507003687747076,either
BCAR1,FAK / focal-adhesion,CRISPR,PAN,B_vs_C,30,814,-0.20849010433060855,-0.1285381346903709,0.07995196964023765,0.10202650583496076,0.04937901241975161,-0.047335951182227554,0.16790711853695373,either
PXN,FAK / focal-adhesion,CRISPR,PAN,A_vs_C,324,814,-0.2540375467083857,-0.2330755049676193,0.02096204174076638,0.2860613942868571,0.11123777524449512,-0.011159523244534886,0.04843884028173159,either
WWTR1,YAP/TAZ-TEAD output,CRISPR,PAN,B_vs_C,30,814,-0.37458702370351926,-0.25074134100994583,0.12384568269357343,0.02822071984789627,0.02393952120957581,-0.035013611409219395,0.2976649550163989,either
