gene,mean_A,mean_B,delta,p,q,comparison
RB1,2113.6660270270268,1599.181650793651,514.4843762333758,6.413230277020112e-05,0.000914690140720832,CDKN2A/B-null vs intact
CDK6,2696.753297297297,1662.6342063492064,1034.1190909480908,7.416406546385125e-05,0.000914690140720832,CDKN2A/B-null vs intact
E2F1,475.55737837837836,766.057253968254,-290.49987558987567,7.416406546385125e-05,0.000914690140720832,CDKN2A/B-null vs intact
CRK,1192.7816891891891,1012.0340634920636,180.7476256971255,0.00025630144063841607,0.0023707883259053487,CDKN2A/B-null vs intact
E2F3,518.2555,672.3399206349206,-154.08442063492066,0.0019433747680054226,0.014256982658608456,CDKN2A/B-null vs intact
ITGAV,6925.527837837839,5585.217460317461,1340.310377520378,0.0023119431338283983,0.014256982658608456,CDKN2A/B-null vs intact
E2F2,148.91749864864866,221.1257079365079,-72.20820928785923,0.00858882607043683,0.04539808065802325,CDKN2A/B-null vs intact
TLN1,5394.3393243243245,6272.248412698413,-877.9090883740882,0.010370669025185643,0.047964344241483596,CDKN2A/B-null vs intact
WWTR1,1087.4264054054054,777.9767460317462,309.4496593736592,0.051182493900614225,0.2104169193691918,CDKN2A/B-null vs intact
CDK4,3799.0102702702698,32923.69682539682,-29124.68655512655,0.05999294918574401,0.2219739119872528,CDKN2A/B-null vs intact
ILK,3252.099729729729,2995.1130158730152,256.9867138567138,0.07769203097540128,0.26132774055362246,CDKN2A/B-null vs intact
CDKN1A,3704.3567432432437,3384.2305873015875,320.1261559416562,0.09337424599803784,0.28790392516061664,CDKN2A/B-null vs intact
ACTR3,4089.198648648649,3853.565238095238,235.63341055341107,0.12155094974621448,0.3459527031238412,CDKN2A/B-null vs intact
ARPC3,3023.268918918919,2787.828095238095,235.440823680824,0.13341004073777873,0.35258367909270094,CDKN2A/B-null vs intact
ARPC2,4719.090135135136,4505.946666666667,213.1434684684691,0.16107758356932,0.39732470613765597,CDKN2A/B-null vs intact
CCND2,6073.037432432433,6355.421968253968,-282.3845358215349,0.19884523714207636,0.45982961089105157,CDKN2A/B-null vs intact
AMOTL2,1018.0109594594595,1257.2847301587306,-239.27377069927104,0.2890218184662031,0.6290474872499715,CDKN2A/B-null vs intact
ACTR2,4724.095810810812,4600.011904761905,124.08390604890701,0.33225851103488613,0.6470852928838468,CDKN2A/B-null vs intact
RAC1,8926.056216216217,8508.040158730159,418.01605748605834,0.34313930825961647,0.6470852928838468,CDKN2A/B-null vs intact
CCND1,1825.8795675675678,1831.1739841269841,-5.294416559416277,0.34977583399126855,0.6470852928838468,CDKN2A/B-null vs intact
