gene,role,altered_pct,mut_n,mut_pct,amp_n,amp_pct,homdel_n,homdel_pct,mut_types
CDKN2A,TSG,57.4,4,1.0,0,0.0,322,56.0,Frame_Shift_Del;Missense_Mutation;Nonsense_Mutation
CDKN2B,TSG,55.6,2,0.5,0,0.0,317,55.1,Missense_Mutation
EGFR,ONC,52.6,94,23.7,255,44.3,0,0.0,In_Frame_Ins;Missense_Mutation;Splice_Site
PTEN,TSG,44.4,133,33.5,1,0.2,55,9.6,Frame_Shift_Del;Frame_Shift_Ins;In_Frame_Del;Missense_Mutation;Nonsense_Mutation;Splice_Region;Splice_Site
TP53,TSG,33.1,125,31.5,0,0.0,5,0.9,Frame_Shift_Del;Frame_Shift_Ins;In_Frame_Del;Missense_Mutation;Nonsense_Mutation;Splice_Region;Splice_Site
CDK4,ONC,15.9,0,0.0,82,14.3,0,0.0,
PDGFRA,ONC,15.6,16,4.0,75,13.0,0,0.0,In_Frame_Del;Missense_Mutation
NF1,TSG,14.3,46,11.6,2,0.3,9,1.6,Frame_Shift_Del;Frame_Shift_Ins;In_Frame_Del;Missense_Mutation;Nonsense_Mutation;Splice_Site
RB1,TSG,12.4,38,9.6,0,0.0,15,2.6,Frame_Shift_Del;In_Frame_Del;Missense_Mutation;Nonsense_Mutation;Splice_Site
PIK3CA,ONC,11.9,38,9.6,16,2.8,0,0.0,Frame_Shift_Del;In_Frame_Del;Missense_Mutation;Nonsense_Mutation;Nonstop_Mutation;Splice_Site;Translation_Start_Site
MDM4,ONC,11.6,3,0.8,54,9.4,0,0.0,Missense_Mutation
PIK3R1,TSG,10.3,39,9.8,0,0.0,2,0.3,Frame_Shift_Del;Frame_Shift_Ins;In_Frame_Del;In_Frame_Ins;Missense_Mutation;Nonsense_Mutation;Splice_Site
ATRX,TSG,9.3,37,9.3,1,0.2,1,0.2,Frame_Shift_Del;Frame_Shift_Ins;In_Frame_Del;Missense_Mutation;Nonsense_Mutation
MDM2,ONC,8.7,3,0.8,47,8.2,0,0.0,Missense_Mutation
IDH1,ONC,6.1,25,6.3,0,0.0,1,0.2,Missense_Mutation
LZTR1,TSG,5.0,17,4.3,2,0.3,2,0.3,In_Frame_Del;Missense_Mutation;Nonsense_Mutation
CCND2,ONC,4.5,2,0.5,16,2.8,0,0.0,Missense_Mutation;Nonsense_Mutation
MET,ONC,4.0,7,1.8,15,2.6,1,0.2,Missense_Mutation
MYCN,ONC,3.7,3,0.8,13,2.3,0,0.0,Missense_Mutation
QKI,TSG,3.4,7,1.8,0,0.0,11,1.9,Frame_Shift_Del;In_Frame_Del;Missense_Mutation;Splice_Site
FGFR3,ONC,3.2,3,0.8,10,1.7,0,0.0,Missense_Mutation
BRAF,ONC,3.2,8,2.0,9,1.6,0,0.0,Missense_Mutation;Nonsense_Mutation
PTPN11,ONC,3.2,13,3.3,1,0.2,1,0.2,Missense_Mutation
SOX2,ONC,3.2,0,0.0,19,3.3,0,0.0,
CDK6,ONC,2.9,1,0.3,17,3.0,0,0.0,Missense_Mutation
AKT3,ONC,2.6,1,0.3,11,1.9,1,0.2,Missense_Mutation
KRAS,ONC,2.1,2,0.5,10,1.7,0,0.0,Missense_Mutation
MYC,ONC,1.9,1,0.3,9,1.6,0,0.0,Missense_Mutation
FGFR1,ONC,1.6,5,1.3,1,0.2,0,0.0,Missense_Mutation;Nonsense_Mutation
TP53BP1,?,1.6,4,1.0,1,0.2,1,0.2,Missense_Mutation;Splice_Site
IDH2,ONC,0.5,1,0.3,1,0.2,1,0.2,Missense_Mutation
