gene,delta,p,q,rank
ITGAV,-0.3663026605934794,4.6126901617956265e-07,0.0009839001151826096,5
FERMT2,-0.3196145594984323,0.00017330778040811087,0.04139976258388952,6
ITGB5,-0.301161130669541,8.146448705716977e-06,0.00858539853009561,10
TLN1,-0.2638500575926484,5.214787239589557e-08,0.0004671406409224325,21
PTK2,-0.24315901506130233,0.00012214536951694275,0.03419306937914916,26
VCL,-0.23174289191634873,1.0129020485558155e-07,0.0005642391633542122,33
WWTR1,-0.2249132309822845,1.721318932275889e-07,0.0006167829998130965,34
ILK,-0.22148549027316716,2.210586951214707e-05,0.014354394407323933,38
TEAD1,-0.1799440521137363,7.254103606800832e-05,0.02599290404388874,68
PRMT5,-0.12543298076809528,0.01979623245799763,0.31248396538985507,169
YAP1,-0.0887794567101553,0.004902287088900123,0.17391955541531606,386
STK3,-0.06038863499836625,0.0019249102541720646,0.11933111458043844,790
TEAD3,-0.028526739578191518,0.14288805117504344,0.6467868430652042,3031
STK4,-0.015099212937614834,0.1018697290938641,0.5788449306836884,5550
MOB1A,-0.01455692491546813,0.2859083619706876,0.8111376426075755,5675
TEAD4,-0.012324311496865317,0.5306450305469522,0.972586840642373,6226
TEAD2,0.0025702742937106365,0.48015950722463846,0.9519240601346268,10149
LATS1,0.011029410868860945,0.7469378023337282,0.9999999999999992,12229
MOB1B,0.021885414802093835,0.8907005709465059,0.9999999999999992,14308
MAT2A,0.023485891132174475,0.4639606523976706,0.9445817100405303,14543
SAV1,0.035012173857759926,0.905946513177228,0.9999999999999992,15836
LATS2,0.11614264868386065,0.9990845170151853,0.9999999999999992,17699
NF2,0.2041340960869844,0.9997064423565704,0.9999999999999992,17870
