,CDKN2A,CDKN2B,MTAP,cdkn_null,mtap_null,FERMT2,ILK,ITGAV,ITGB5,LATS1,LATS2,MAT2A,MOB1A,MOB1B,NF2,PRMT5,PTK2,SAV1,STK3,STK4,TEAD1,TEAD2,TEAD3,TEAD4,TLN1,VCL,WWTR1,YAP1,cns
ACH-000974,1.0394072304480615,1.0394072304480615,1.0394072304480615,0,0,-1.130336190365706,-0.4919919032649148,-0.4577424057606273,-0.1884196425562033,0.1570707000979169,-0.1206707058664433,-1.9519720922862005,-0.0902380869144139,0.0097925978089891,0.0560043109711375,-0.9950128929468014,-0.3812815699197178,0.0754985524283364,-0.1364078605712155,-0.0797029573564198,-0.2892759850998924,-0.1256206074148737,-0.1032361280725041,-0.2481494269504355,-0.4559686568713967,-0.3243865458363741,-0.2394079343257724,-0.2628227401937727,0
ACH-001338,0.9960416667689752,0.9960416667689752,0.9960416667689752,0,0,-0.330973198224018,0.1170069867756991,-0.2696546719222799,0.1688716622420266,0.0714553631622379,0.0412061706147873,-1.9079934140681736,0.0443428922487871,0.1019936330974442,0.1549585269665441,-1.3899201681890945,-0.2073009171935542,0.1135757117135723,0.051400621560475,-0.0478341544180274,-0.0261991550568742,-0.1258221219161186,-0.1145765727060612,-0.1469058144933611,0.100999241252884,-0.3867434255954404,-0.2551037924423246,-0.1024033706717177,1
ACH-001608,1.5342938902090455e-09,8.487562512269038e-05,1.5342938902090455e-09,1,1,-0.170941089919237,0.0136200856611922,-1.476389612075289,-0.5087261259927395,0.1891106534465215,-0.0228608582850956,-1.4735706309761265,-0.0276112857724552,0.0365177397515002,0.7638731175240587,-1.302789145183532,-0.3764813214765851,0.0776699172483553,-0.1998675900164324,-0.09309292666278,-0.1744235620509879,-0.1233851210458882,-0.2716215446718418,-0.1445658676707217,-0.2802828943709484,-0.6062272547696761,-0.3150232411387161,-0.433162460659438,1
ACH-000278,0.618026240805507,0.618026240805507,0.618026240805507,0,0,-0.6607773642065193,-0.7266680682119073,-0.8305243792792767,-0.1341417355550584,0.2568171863006249,0.0110349814463019,-2.5973597641792363,0.0291464658973363,0.0758151425732134,0.4023257009511788,-0.8324566638159693,-0.714354876870045,0.3748303533996819,-0.1472693023143278,0.1014762661117736,-0.0844135600637188,-0.220297202034439,-0.06893771665467,-0.1450528345305628,-0.6870311616886052,-0.6351597907669381,-0.3664473942213795,-0.1463620616888654,0
ACH-000324,2.591191280323012e-07,0.7426275327392812,9.703067768907907e-10,1,1,-1.0215107392589604,-0.5902892402831312,-0.6577514490093748,-0.2531550282702421,0.2320310469787073,0.0739010620479452,-1.4211552768173663,-0.0712010715388642,0.0079524850944785,0.7871232203481315,-1.0464614901170557,-1.123716398869328,0.1364746587735638,-0.1076045183938815,-0.1353924993616862,-0.280383720784969,-0.0667806747422845,-0.3035054249490784,-0.2887613328992258,-0.3601943217425252,-0.3337298698908952,-0.2935102674999389,-0.0814340949035511,0
ACH-000086,3.5304969601712765e-07,0.6176084732173033,1.3666490895848454e-09,1,1,-0.5020189333885117,-0.206098955274811,-0.6957409826418733,-0.5062674313839729,0.2335865066074457,0.1160838273035484,-1.153704446457358,-0.0190989647993757,0.1791229055934091,0.1631148470110656,-0.9666869895890676,-0.4952801529598791,0.1613447367886909,-0.144036004240915,0.007365090103856,-0.8314908655492895,-0.1934652078635874,-0.2308198903495821,-0.5827987468205847,-0.0697040728128772,-0.3090814544661724,-0.5648565254028877,-0.4516371939103442,0
ACH-000846,0.8042238353183621,0.8042238353183621,0.8042238353183621,0,0,-0.0697157079767412,-0.1260424035382315,-0.123281489515813,-0.165519230562908,0.0992816067633738,-0.1616609081018078,-1.479122826524652,-0.2410651530192707,0.0950672697444208,0.291976877722512,-1.1063357643379026,-0.0865108624351817,-0.1950659559286068,-0.0552861684319935,-0.0578844980369236,-0.0988599870894242,0.0313727125811955,-0.1995833681738243,-0.3077533918576564,0.1237681019802792,-0.2501970051815519,-0.3099528670989502,-0.0125556460965015,0
ACH-000903,1.0086013070481192,1.0086013070481192,1.0086013070481192,0,0,-0.9488255739722652,-0.465245645356717,-1.1265607750081807,-0.6473299504878653,0.3443475461281156,0.081890461915509,-2.2048247132685512,-0.0152770260348664,0.0789939752991394,0.8618224783992995,-1.000558431864452,-0.5504171350653376,0.0073004402921428,-0.1677873938171931,-0.2956528652112897,-0.3092117890480334,-0.1061828028919686,-0.2055720465523435,-0.2182670110000973,-0.7309466210877973,-0.5360589805355237,-0.4590042864627739,-0.2678320170386966,0
ACH-001707,0.7883548177402953,0.7883548177402953,0.7883548177402953,0,0,-0.3069306399830914,-0.1184541573078978,-0.2300306742718886,0.0297316378331819,0.1984908815138891,0.0525823514828523,-1.204558660167588,0.0970573701732723,0.1014807407002259,0.2691948705405074,-1.6026644510880803,-0.2965712101166122,0.2030522875975405,-0.1879973102004386,-0.2086507635094191,0.0030647893715367,0.1119661336818421,-0.1466171674780057,-0.0151710009488729,-0.0496355823529268,-0.2440027518075621,0.0047676476745761,0.0131382923118349,0
ACH-000470,0.9569198518772002,0.9569198518772002,0.9569198518772002,0,0,-0.2952594589707382,-0.4614231273079495,-0.9251769607936328,-0.6757576652804356,0.1107546855424585,0.2074491756272595,-2.142250833758105,-0.2310341041266898,0.0237250781229457,0.0416052335307173,-1.2511382118031034,-0.4523612733425985,0.2086440819866116,-0.3090194926668239,0.1144647664277902,-0.4465894193892878,0.0548180200309779,-0.0795025428379676,-0.2003987076172427,-0.4974405299304639,-0.4016626160461005,-0.2468095167334096,-0.3253945706732835,0
ACH-001642,1.0432014881176648,1.1174087324637525,0.5777214635908987,0,0,-0.3039525480578425,0.0332749464707026,-0.2951837754357848,-0.0915633113366354,-0.1967780325564369,-0.0247134116305127,-1.7063012555864856,-0.1497566888540668,0.1893659322488304,0.192162265707713,-1.0681077365653917,-0.5243440209959774,0.0412756736780743,-0.1138083754773127,0.2175255161197229,0.042535988423624,-0.2601126024491708,-0.2826236451434203,-0.2417758584314498,-0.1591693692210712,-0.6788112281228726,-0.2149886323010086,-0.0621798279036951,0
ACH-000120,1.114125690475526,1.114125690475526,1.114125690475526,0,0,-0.9705710369556038,-0.4133055790129997,-0.4905936697359317,-0.5835557585721947,0.2291285009585821,0.0108784823482798,-1.0242510285780253,-0.0683321647736227,0.0387981013646605,-0.150519611252466,-0.8731559694801267,-1.718664527131578,0.0194373239282501,-0.0529280770066219,-0.2585916179543513,-0.2737989158808305,-0.1697593491167967,-0.0103726817911841,-0.1717390717289107,-0.347902739539768,-0.4510968777324853,-0.2358501337610583,-0.1936353386537923,1
ACH-000620,1.0727723809922254,1.0727723809922254,1.0727723809922254,0,0,-0.9862826517032106,-0.5969405075032257,-0.725827195041983,-0.2714831982972081,0.1371774977891439,0.0199419211902125,-1.839490010555913,-0.1170484644385026,0.0527276271924883,0.4900236342227115,-1.020405565009424,-1.3284016806268872,0.2712735603708007,-0.1207394342784492,0.0320577316933119,0.0182468194846513,-0.0762750665852222,-0.2090185339555763,-0.1923985028141957,-0.7382422759268898,-0.499450962396314,-0.4087495324326805,-0.1056131759279174,0
ACH-001669,0.8200131781011749,0.8200131781011749,0.8200131781011749,0,0,-0.0921567889579482,0.1450151580105602,-0.1523516284415617,0.0749263064149859,0.1578334758840149,-0.1289129344042994,-1.6789081745967889,-0.0627001667369112,0.0840074954081275,0.0631643463498207,-1.2339327466536076,-0.1369043129207759,0.0750652873232669,-0.085771842008854,-0.0540681638684006,0.1092709633536642,-0.0448547774231018,-0.1114407070606516,-0.1106001991241258,0.0886753738808267,-0.1400847675670547,-0.1677345370570718,0.0111319384731878,0
